index,motor_rev,motor_rpm,wheel_rpm,linear_velocity,distance,avx,avy,avz,lax,lay,laz
0,14569.65138888889,1282.8773813548717,122.34390470836034,0.422790183467602,288.0979432622816,0.0,0.0,0.9509762097619496,0.005181215925055405,0.38219169685287896,9.81
1,14569.774305555555,1254.2181154357875,119.61076236009247,0.4133451215528152,288.10037379667904,0.0,0.0,1.0293176702236686,0.004916543259178249,0.38217847771282554,9.81
2,14569.85625,1254.1973397078798,119.6087810455005,0.41333827462111195,288.101994152944,0.0,0.0,1.1452236930493824,0.004509636108729252,0.38216545067020574,9.81
3,14569.937847222222,1247.2960792806348,118.95062995456247,0.4110638677256446,288.10360764329255,0.0,0.0,1.218428912040161,0.004024907727918912,0.3821526129303091,9.81
4,14570.019791666668,1247.2693641340613,118.94808221664601,0.41105506337545084,288.10522799955754,0.0,0.0,1.12606374119565,0.003507417249965171,0.38213996173917597,9.81
5,14570.142708333333,1247.1708803431718,118.9386901331133,0.4110226066647597,288.1076585339549,0.0,0.0,0.9410901918198677,0.0027073578478544877,0.382109210701965,9.81
6,14570.224305555555,1182.0254391199503,112.72597817089874,0.38955301537946074,288.1092720243035,0.0,0.0,0.9648459869634366,0.0021697535894250335,0.3820890821828042,9.81
7,14570.30625,1181.9871803844972,112.72232955790376,0.38954040667810186,288.1108923805685,0.0,0.0,1.1344563587947198,0.0016537766591250373,0.3820692463446709,9.81
8,14570.388194444444,1221.9527512948243,116.5337179806261,0.4027116195337837,288.1125127368334,0.0,0.0,0.9477400159496772,0.001162179031904033,0.38204148921048803,9.81
9,14570.47013888889,1221.9091189080414,116.52955689972441,0.4026972398704728,288.1141330930984,0.0,0.0,0.9659725919459029,0.000680566971104816,0.38201413595327416,9.81
10,14570.55173611111,1184.2411382300145,112.9372822945226,0.39028323001015575,288.115746583447,0.0,0.0,1.102683573582069,0.00022459261733458972,0.38198718068238896,9.81
11,14570.633680555555,1184.2062695451193,112.9339569797855,0.3902717385473719,288.11736693971187,0.0,0.0,1.0329909727874258,-0.00019642485614619067,0.38196061759351274,9.81
12,14570.756597222222,1196.5426265424596,114.11043581312259,0.39433735753327914,288.11979747410936,0.0,0.0,1.1703293511888362,-0.0007221055036665368,0.3819354072441251,9.81
13,14570.838194444445,1196.5163001474862,114.10792514920043,0.39432868130161225,288.12141096445794,0.0,0.0,1.0852631154329724,-0.0009831676238942814,0.3819189053604829,9.81
14,14570.920138888889,1208.5886235088221,115.25922394080271,0.39830728430997525,288.12303132072293,0.0,0.0,1.0712446575686438,-0.0011885988996792791,0.3819026433479021,9.81
15,14571.002083333333,1208.60055300339,115.26036161847,0.39831121584175716,288.1246516769878,0.0,0.0,0.9737646806507799,-0.001321415386454959,0.3819101207478663,9.81
16,14571.083680555555,1175.1454105986857,112.06985189879356,0.3872856057555606,288.12626516733644,0.0,0.0,1.058466166490175,-0.0013292964236378765,0.3819174896861413,9.81
17,14571.165625,1175.1569963070651,112.07095679067378,0.3872894239877959,288.1278855236013,0.0,0.0,1.0909641795719651,-0.0012553808484532698,0.381924751734968,9.81
18,14571.288541666667,1279.551317498543,122.02670865719695,0.4216940326051112,288.13031605799875,0.0,0.0,1.0951773415376005,-0.0010569899987457338,0.3819528732624641,9.81
19,14571.37013888889,1210.4693235259122,115.43858027447887,0.39892709530425224,288.1319295483474,0.0,0.0,1.0065479422819863,-0.0007821666772904305,0.3819943475868568,9.81
20,14571.452083333334,1210.534525650094,115.4447983921132,0.3989485835761994,288.1335499046123,0.0,0.0,1.1219099159079444,-0.00039860078358451356,0.38203522212068275,9.81
21,14571.534027777778,1228.9673968860131,117.20268225129159,0.4050233940958442,288.13517026087726,0.0,0.0,0.9614932035831035,3.9924022433565306e-05,0.382075505506325,9.81
22,14571.615625,1229.0377358816331,117.2093902558932,0.4050465752956185,288.1367837512259,0.0,0.0,1.0342416155917062,0.0005013540588700092,0.38211960528332556,9.81
23,14571.697569444445,1213.699550383577,115.74663665820212,0.39999166174344836,288.1384041074908,0.0,0.0,1.064342219640294,0.0009720665191598537,0.38216306744863254,9.81
24,14571.779513888889,1213.7678625205608,115.75315136779092,0.40001417496361125,288.14002446375576,0.0,0.0,1.0772368783514756,0.0014291757228263695,0.3822059011853291,9.81
25,14571.861458333333,1265.0989480677672,120.64843249912684,0.41693105212701903,288.1416448200207,0.0,0.0,1.2029375499750272,0.0018581966532247064,0.3822481155452747,9.81
26,14571.943402777777,1265.1790126835829,120.65606800495945,0.41695743854095224,288.14326517628564,0.0,0.0,1.0560253904101027,0.0022608103748948034,0.3822983243813174,9.81
27,14572.065972222223,1296.371311603337,123.63077759305955,0.42723729690834444,288.1456888447667,0.0,0.0,1.007291309907695,0.002655143923057039,0.38234780766971516,9.81
28,14572.147916666667,1296.406253712766,123.63410991005915,0.4272488125692104,288.1473092010317,0.0,0.0,1.2019332557282612,0.0032011294917381073,0.3824206949933874,9.81
29,14572.229861111111,1243.4829294947538,118.5869820792294,0.4098071908826407,288.1489295572967,0.0,0.0,1.137800794555626,0.0034620729253418696,0.3824159868912086,9.81
30,14572.311805555555,1243.4755318307002,118.58627658771543,0.4098047528789875,288.1505499135616,0.0,0.0,1.0245627506221313,0.0034884408476314336,0.38241134715475816,9.81
31,14572.39375,1230.5790867457908,117.35638394834378,0.4055545490303779,288.1521702698265,0.0,0.0,1.0530630720496057,0.003360240105087019,0.38240677479090135,9.81
32,14572.475694444445,1230.5738360378666,117.35588320515562,0.4055528185861445,288.15379062609156,0.0,0.0,1.1186005715013143,0.003135538935159052,0.38240226882094114,9.81
33,14572.557291666666,1179.9498143805115,112.5280324911144,0.3888689642166985,288.1554041164401,0.0,0.0,1.0546823051697856,0.0028587391393194578,0.3824002267030943,9.81
34,14572.63923611111,1179.9466058991488,112.52772650852886,0.3888679068167913,288.157024472705,0.0,0.0,1.1744443802333315,0.0025653175678317774,0.3823982142316068,9.81
35,14572.762152777777,1291.6117166875856,123.17687027870025,0.4256687058357224,288.1594550071025,0.0,0.0,1.1600759020981473,0.002271707980697307,0.38239623097601205,9.81
36,14572.844097222222,1234.202210520262,117.70190965193233,0.40674860014360015,288.16107536336744,0.0,0.0,1.0205562127538514,0.0019003450936144512,0.38243319880322885,9.81
37,14572.926041666668,1234.2618352258041,117.70759586902456,0.40676825029922825,288.16269571963244,0.0,0.0,1.0267759233369118,0.0018421773453213344,0.3824705984586778,9.81
38,14573.007986111112,1267.0460246183798,120.83411895009257,0.4175727384362667,288.16431607589743,0.0,0.0,1.1563326617663452,0.0018952355085678052,0.3825074570529336,9.81
39,14573.089583333332,1267.0939116438333,120.83868578224974,0.4175885202752573,288.16592956624595,0.0,0.0,1.121002100871032,0.002017064244150333,0.38254378238785786,9.81
40,14573.171527777778,1259.9814125311198,120.16038953482105,0.41524449671658986,288.16754992251094,0.0,0.0,0.9986545190068006,0.0021627239744946704,0.38256714823917903,9.81
41,14573.253472222223,1260.018118536902,120.16389006896323,0.41525659369416906,288.1691702787759,0.0,0.0,1.0487108236323086,0.002278743864947694,0.3825901756368958,9.81
42,14573.335416666667,1203.105547985289,114.73632059936924,0.3965002600843918,288.1707906350408,0.0,0.0,0.9733163002792444,0.002369698636027993,0.3826128694734908,9.81
43,14573.458333333334,1203.1072401646554,114.73648197709262,0.39650081776576906,288.17322116943825,0.0,0.0,1.0401980882981445,0.0024422657832716406,0.3826247979121804,9.81
44,14573.540277777778,1187.2322800339416,113.22253790285079,0.39126900262602676,288.17484152570324,0.0,0.0,1.037392499425976,0.002380193160441557,0.38262549277465285,9.81
45,14573.622222222222,1187.2333717258437,113.22264201400903,0.39126936240836163,288.1764618819682,0.0,0.0,1.137229859032445,0.00225647210201552,0.3826261775519209,9.81
46,14573.704166666666,1265.2769419824099,120.6654072083611,0.4169897125110289,288.1780822382331,0.0,0.0,1.0632575374130078,0.002096727310152706,0.38262685239035266,9.81
47,14573.78611111111,1265.3378092131984,120.67121192110423,0.41700977215822993,288.17970259449805,0.0,0.0,1.103212832329923,0.001963234820056961,0.38266504098595605,9.81
48,14573.868055555555,1273.2773235035759,121.42837795574641,0.41962635013540744,288.18132295076305,0.0,0.0,1.1446122426659306,0.001965788581206398,0.3827026771443501,9.81
49,14573.949652777777,1273.3364365141124,121.43401537412578,0.4196458316547899,288.1829364411116,0.0,0.0,1.065219281922311,0.0020551730478307827,0.38273976883034666,9.81
50,14574.031597222222,1269.4083447910962,121.05940585459487,0.4183512740888145,288.18455679737656,0.0,0.0,1.1597912306843217,0.0021959972337912722,0.38275615511607447,9.81
51,14574.113541666668,1269.4021725768162,121.05881723029869,0.4183492399492734,288.18617715364155,0.0,0.0,0.9990163964153778,0.002231138387103652,0.38275228213354734,9.81
52,14574.195486111112,1182.2827776347076,112.75051972037558,0.3896378248861593,288.1877975099065,0.0,0.0,1.0647293243991869,0.0021573234221348363,0.3827484653859326,9.81
53,14574.318402777777,1271.4960103374842,121.25849982755159,0.4190392934679108,288.1902280443039,0.0,0.0,1.1415544659250738,0.0019274172729590257,0.3827428439214865,9.81
54,14574.400347222223,1271.559785521312,121.26458186245716,0.41906031147170686,288.19184840056886,0.0,0.0,0.9498468431968686,0.0017851057612150144,0.38278286314050153,9.81
55,14574.482291666667,1208.3186623558065,115.2334786107661,0.39821831483629727,288.19346875683385,0.0,0.0,1.1053222759916272,0.0017959963361407292,0.3828223035334909,9.81
56,14574.564236111111,1208.3805996495653,115.23938537198556,0.3982387271377162,288.1950891130988,0.0,0.0,1.086129182393902,0.001904560945524355,0.3828611734430394,9.81
57,14574.646180555555,1224.6971404463277,116.79544157924437,0.403616071361943,288.1967094693638,0.0,0.0,1.0082771208060581,0.0020708771442373036,0.3829031671880929,9.81
58,14574.728125,1224.7689109357611,116.80228610082355,0.4036397243305246,288.19832982562866,0.0,0.0,1.1150092334084147,0.002290836869081826,0.38294821311514576,9.81
59,14574.810069444444,1234.7357153380917,117.75278829672149,0.40692442411796387,288.19995018189366,0.0,0.0,1.0847609933883202,0.002542306725981745,0.38299260779964533,9.81
60,14574.89201388889,1234.8054174185718,117.75943556076726,0.40694739541344577,288.2015705381586,0.0,0.0,1.161421176505105,0.002802616624617327,0.3830363606195745,9.81
61,14575.014930555555,1286.63352600951,122.70211618700733,0.4240280734723258,288.204001072556,0.0,0.0,1.1655984507834798,0.003177932680826877,0.383100704846785,9.81
62,14575.096875,1286.7005665929432,122.70850963260885,0.424050167634232,288.205621428821,0.0,0.0,1.0642266270520284,0.0034050987685864086,0.383142792932636,9.81
63,14575.178819444445,1258.8289894474951,120.05048663842905,0.4148646995714852,288.20724178508596,0.0,0.0,1.0388080504649526,0.0036085601619372043,0.38318427237814884,9.81
64,14575.26076388889,1258.824822462919,120.0500892464637,0.4148633262834383,288.20886214135095,0.0,0.0,1.0298000654375137,0.00378654986035774,0.38320348328572157,9.81
65,14575.343055555555,1217.9471306996654,116.15171478101055,0.40139151124366773,288.21048936353225,0.0,0.0,1.06507553265434,0.003797046918189102,0.38320090506239884,9.81
66,14575.425,1217.9430838125822,116.15132884235823,0.4013901775354294,288.2121097197972,0.0,0.0,1.0252088462527358,0.0036559982175523426,0.3831983642700741,9.81
67,14575.506944444445,1194.2085577992054,113.88784315691264,0.3935681325344377,288.2137300760622,0.0,0.0,1.1714344679529514,0.003420769869318273,0.3831958603651976,9.81
68,14575.58888888889,1194.2361779458442,113.89047720178513,0.3935772351400604,288.2153504323271,0.0,0.0,0.9978209035761407,0.003132397375603275,0.38320326120020093,9.81
69,14575.711805555555,1226.7906200958666,116.99509002458652,0.40430600686004925,288.21778096672455,0.0,0.0,0.9959506765478414,0.0027810556440525953,0.3832288034052513,9.81
70,14575.79375,1278.441594141482,121.92087789689036,0.42132830775209784,288.21940132298954,0.0,0.0,1.0402248553202733,0.002607959132794314,0.3832455234283872,9.81
71,14575.875694444445,1278.4681891905627,121.92341418149381,0.42133707252248326,288.2210216792545,0.0,0.0,0.9338292922818906,0.0024706838409159155,0.3832621115595883,9.81
72,14575.957638888889,1202.6691618900509,114.69470385592376,0.39635644294336975,288.22264203551947,0.0,0.0,0.9991915693780882,0.0023615668224139523,0.38327856890553885,9.81
73,14576.039583333333,1202.6949908195797,114.69716707816069,0.3963649552283418,288.22426239178435,0.0,0.0,1.1114651678182497,0.0022740535908546988,0.38329478772133646,9.81
74,14576.121527777777,1251.503010974951,119.35183154857641,0.41245032090404354,288.22588274804934,0.0,0.0,1.0296640053309578,0.002202867502733742,0.3833107714592474,9.81
75,14576.244791666666,1251.5881020408133,119.35994641084204,0.41247836385489,288.22832014836314,0.0,0.0,1.0199334042707109,0.002143971749076331,0.3833364873986953,9.81
76,14576.32673611111,1207.2752277950992,115.13396960053649,0.3978744363832436,288.229940504628,0.0,0.0,1.0575969149730995,0.002193608208107315,0.3833891486568217,9.81
77,14576.408680555556,1207.3301191795463,115.13920441596446,0.3978925266067042,288.23156086089307,0.0,0.0,0.9642085051487538,0.002295956415473707,0.38342362192203194,9.81
78,14576.490625,1275.4308070398124,121.63374877947247,0.4203360607535949,288.23318121715806,0.0,0.0,1.0112039056273237,0.002425425203055548,0.38346358499682287,9.81
79,14576.572569444445,1275.5029782336774,121.64063151494913,0.420359845779926,288.234801573423,0.0,0.0,1.0852896506983258,0.00260508882751857,0.3835089154490153,9.81
80,14576.654513888889,1213.1546304324224,115.6946693887291,0.3998120757522444,288.23642192968794,0.0,0.0,1.1566937019883288,0.002819835408961078,0.38355359055782784,9.81
81,14576.736805555556,1213.2247218336852,115.70135378105029,0.39983517535383534,288.2380491518693,0.0,0.0,1.0855075128633673,0.003047076494458717,0.38359761975993006,9.81
82,14576.81875,1163.9271436494864,111.0000017302792,0.3835884689827294,288.2396695081342,0.0,0.0,1.033811157758635,0.003271580970137744,0.38364524066215194,9.81
