index,motor_rev,motor_rpm,avx,avy,avz,lax,lay,laz
0,0.0,-5.936743437466042,0.0,0.0,-0.012948825411882721,0.0,0.0,9.81
1,0.0,-5.936743437466042,0.0,0.0,-0.037676435319745426,0.0,0.0,9.81
2,0.0,-18.787530533156183,0.0,0.0,-0.1096638585633308,0.0,0.0,9.81
3,0.0,-63.564291006410336,0.0,0.0,0.047961011278277274,0.0,0.0,9.81
4,0.0,-63.564291006410336,0.0,0.0,0.12023263973880871,0.0,0.0,9.81
5,0.0,-0.8329515520888744,0.0,0.0,-0.00882362122812359,0.0,0.0,9.81
6,0.0,-41.844325138638396,0.0,0.0,-0.1339822204538834,0.0,0.0,9.81
7,0.0,22.869563333474932,0.0,0.0,0.052520817792879225,0.0,0.0,9.81
8,0.0,22.869563333474932,0.0,0.0,0.06909238221163254,0.0,0.0,9.81
9,0.0,-33.402491872963864,0.0,0.0,-0.043843990933665505,0.0,0.0,9.81
10,0.0,-33.402491872963864,0.0,0.0,-0.019836300000325546,0.0,0.0,9.81
11,0.0,-39.430938096296686,0.0,0.0,-0.01741446513879055,0.0,0.0,9.81
12,0.0,52.464880438969345,0.0,0.0,-0.09437120341832361,0.0,0.0,9.81
13,0.0,52.464880438969345,0.0,0.0,0.05246297943594652,0.0,0.0,9.81
14,0.0,12.577299736205372,0.0,0.0,-0.07934289244483111,0.0,0.0,9.81
15,0.0,-19.2237523475147,0.0,0.0,0.15895029540695457,0.0,0.0,9.81
16,0.0,-19.2237523475147,0.0,0.0,0.09730072865931709,0.0,0.0,9.81
17,0.0,30.382353699338008,0.0,0.0,0.023474382118189367,0.0,0.0,9.81
18,0.0,-38.24531170391539,0.0,0.0,0.04260694422360113,0.0,0.0,9.81
19,0.0,-38.24531170391539,0.0,0.0,-0.04985632773645493,0.0,0.0,9.81
20,0.0,32.05941846297628,0.0,0.0,-0.020530161766960923,0.0,0.0,9.81
21,0.0,70.2619101520174,0.0,0.0,0.05067539772622348,0.0,0.0,9.81
22,0.0,70.2619101520174,0.0,0.0,0.03319673213127939,0.0,0.0,9.81
23,0.0,-0.0962152252616763,0.0,0.0,0.011761268356793454,0.0,0.0,9.81
24,0.0,-10.702303622619256,0.0,0.0,0.0028565090817700874,0.0,0.0,9.81
25,0.0,-10.702303622619256,0.0,0.0,0.048284831666261935,0.0,0.0,9.81
26,0.0,-21.867026463671078,0.0,0.0,0.061475035713283194,0.0,0.0,9.81
27,0.0,64.20235346917221,0.0,0.0,-0.014811005697030338,0.0,0.0,9.81
28,0.0,64.20235346917221,0.0,0.0,0.0630374737683188,0.0,0.0,9.81
29,0.0,-1.1545620082537613,0.0,0.0,-0.06925036927593343,0.0,0.0,9.81
30,0.0,-1.1545620082537613,0.0,0.0,-0.1077228369572992,0.0,0.0,9.81
31,0.0,-60.22858717206644,0.0,0.0,0.0525386058663569,0.0,0.0,9.81
32,0.0,8.067792040165635,0.0,0.0,0.059232692636148734,0.0,0.0,9.81
33,0.0,8.067792040165635,0.0,0.0,-0.10270816484514939,0.0,0.0,9.81
34,0.0,-17.635205934716943,0.0,0.0,-0.04276726990614645,0.0,0.0,9.81
35,0.0,22.091775145664837,0.0,0.0,0.03398624688069853,0.0,0.0,9.81
36,0.0,22.091775145664837,0.0,0.0,-0.07375239517742037,0.0,0.0,9.81
37,0.0,25.027487389397308,0.0,0.0,-0.05740846075123921,0.0,0.0,9.81
38,0.0,34.42644700066499,0.0,0.0,0.037862224291629956,0.0,0.0,9.81
39,0.0,34.42644700066499,0.0,0.0,0.046889138375459306,0.0,0.0,9.81
40,0.0,20.84026838258206,0.0,0.0,0.06958479595228638,0.0,0.0,9.81
41,0.0,4.874622334554885,0.0,0.0,-0.07796583774203131,0.0,0.0,9.81
42,0.0,4.874622334554885,0.0,0.0,0.03957472958079583,0.0,0.0,9.81
43,0.0,-13.477955247165212,0.0,0.0,0.0025527148689915417,0.0,0.0,9.81
44,0.0,-0.29689843279781813,0.0,0.0,0.0009465686709738398,0.0,0.0,9.81
45,0.0,-0.29689843279781813,0.0,0.0,-0.008196940645134734,0.0,0.0,9.81
46,0.0,31.236742170087737,0.0,0.0,-0.021167941273896325,0.0,0.0,9.81
47,0.0,-47.232996780641244,0.0,0.0,-0.15039570153850507,0.0,0.0,9.81
48,0.0,-47.232996780641244,0.0,0.0,-0.10238777993504532,0.0,0.0,9.81
49,0.0,-39.36660995037222,0.0,0.0,0.06316175764585925,0.0,0.0,9.81
50,0.0,-0.9468120587430405,0.0,0.0,0.12100339808024954,0.0,0.0,9.81
51,0.0,-0.9468120587430405,0.0,0.0,-0.08012156299520626,0.0,0.0,9.81
52,0.0,26.918507918049446,0.0,0.0,-0.025985100820729724,0.0,0.0,9.81
53,0.0,26.918507918049446,0.0,0.0,0.032386609355950946,0.0,0.0,9.81
54,0.0,20.768825957895206,0.0,0.0,-0.069636998732985,0.0,0.0,9.81
55,0.0,42.1260667930032,0.0,0.0,0.12824977297869208,0.0,0.0,9.81
56,0.0,42.1260667930032,0.0,0.0,0.09442221222088348,0.0,0.0,9.81
57,0.0,-22.522021044674506,0.0,0.0,-0.047725198828093555,0.0,0.0,9.81
58,0.0,-5.350523739883076,0.0,0.0,0.03784486967112586,0.0,0.0,9.81
59,0.0,-5.350523739883076,0.0,0.0,-0.043638169738875646,0.0,0.0,9.81
60,0.0,-15.932060470534347,0.0,0.0,-0.09239410305306742,0.0,0.0,9.81
61,0.0,68.18172097103024,0.0,0.0,-0.08375153987526807,0.0,0.0,9.81
62,0.0,68.18172097103024,0.0,0.0,0.09622456567130805,0.0,0.0,9.81
63,0.0,-12.95638243956726,0.0,0.0,0.02329782166033933,0.0,0.0,9.81
64,0.0,-33.61365595862994,0.0,0.0,0.1553514660184859,0.0,0.0,9.81
65,0.0,-33.61365595862994,0.0,0.0,0.04782129475978038,0.0,0.0,9.81
66,0.0,30.344828655977633,0.0,0.0,-0.0238645505644382,0.0,0.0,9.81
67,0.0,-39.941709197888926,0.0,0.0,0.16507793894341877,0.0,0.0,9.81
68,0.0,-39.941709197888926,0.0,0.0,-0.05729643111169009,0.0,0.0,9.81
69,0.0,-10.756866778404117,0.0,0.0,-0.03408593201752953,0.0,0.0,9.81
70,0.0,-12.529232605639857,0.0,0.0,0.00821622133993342,0.0,0.0,9.81
71,0.0,-12.529232605639857,0.0,0.0,0.01880251507183944,0.0,0.0,9.81
72,0.0,-9.320485694367884,0.0,0.0,0.06866140518165967,0.0,0.0,9.81
73,0.0,-15.428793085026465,0.0,0.0,-0.08637874241642333,0.0,0.0,9.81
74,0.0,-15.428793085026465,0.0,0.0,0.021383785860958574,0.0,0.0,9.81
75,0.0,18.255884775938224,0.0,0.0,-0.024885103634119776,0.0,0.0,9.81
76,0.0,18.255884775938224,0.0,0.0,-0.012515736006475217,0.0,0.0,9.81
77,0.0,18.589552871926024,0.0,0.0,-0.06645468344909224,0.0,0.0,9.81
78,0.0,-10.506526176574383,0.0,0.0,-0.033738620921643335,0.0,0.0,9.81
79,0.0,-10.506526176574383,0.0,0.0,0.004457990500426885,0.0,0.0,9.81
80,0.0,-43.93365892879183,0.0,0.0,-0.0649347390205798,0.0,0.0,9.81
81,0.0,18.12008111009561,0.0,0.0,0.1365124874485267,0.0,0.0,9.81
82,0.0,18.12008111009561,0.0,0.0,0.0800748264970913,0.0,0.0,9.81
83,0.0,24.12695233443124,0.0,0.0,0.07123730614747807,0.0,0.0,9.81
84,0.0,-9.29765204304509,0.0,0.0,0.0717383161944822,0.0,0.0,9.81
85,0.0,-9.29765204304509,0.0,0.0,-0.025517146201640105,0.0,0.0,9.81
86,0.0,-1.7640035005348689,0.0,0.0,-0.010614292030108236,0.0,0.0,9.81
87,0.0,39.9707413790512,0.0,0.0,0.012031880244542886,0.0,0.0,9.81
88,0.0,39.9707413790512,0.0,0.0,-0.02675441064103186,0.0,0.0,9.81
89,0.0,-49.5122385348751,0.0,0.0,-0.0380974000877877,0.0,0.0,9.81
90,0.0,63.66059401626371,0.0,0.0,0.01383549104850861,0.0,0.0,9.81
91,0.0,63.66059401626371,0.0,0.0,-0.021431886693167302,0.0,0.0,9.81
92,0.0,-12.922901505968984,0.0,0.0,-0.02344028061158476,0.0,0.0,9.81
93,0.0,-12.922901505968984,0.0,0.0,0.10260408767851274,0.0,0.0,9.81
94,0.0,81.58084906554171,0.0,0.0,-0.11901776559273138,0.0,0.0,9.81
95,0.0,-41.22051254472462,0.0,0.0,0.07086574945937404,0.0,0.0,9.81
96,0.0,55.35316212004409,0.0,0.0,0.05264728960867607,0.0,0.0,9.81
97,0.0,55.35316212004409,0.0,0.0,-0.011327396838098365,0.0,0.0,9.81
98,0.0,42.04229671093717,0.0,0.0,-0.008710100558311597,0.0,0.0,9.81
99,0.0,-3.559027617305232,0.0,0.0,-0.03002271880481565,0.0,0.0,9.81
100,0.0,-3.559027617305232,0.0,0.0,-0.12036974490785492,0.0,0.0,9.81
101,0.0,-62.5208245546038,0.0,0.0,-0.0036893648082125348,0.0,0.0,9.81
102,0.0,-62.5208245546038,0.0,0.0,0.045239297090975024,0.0,0.0,9.81
103,0.0,-1.6266436915286604,0.0,0.0,-0.007287456588810382,0.0,0.0,9.81
104,0.0,16.037829925078274,0.0,0.0,0.07399332822108089,0.0,0.0,9.81
105,0.0,64.64784597145248,0.0,0.0,-0.011452819492279455,0.0,0.0,9.81
106,0.0,64.64784597145248,0.0,0.0,-0.02261935013671707,0.0,0.0,9.81
107,0.0,-51.145187623216124,0.0,0.0,0.008893456956589147,0.0,0.0,9.81
108,0.0,-51.145187623216124,0.0,0.0,0.09910028234439207,0.0,0.0,9.81
109,0.0,20.94326332885546,0.0,0.0,-0.02163551690762514,0.0,0.0,9.81
110,0.0,-28.870207018670726,0.0,0.0,-0.10099561581510054,0.0,0.0,9.81
111,0.0,-28.870207018670726,0.0,0.0,-0.0842885875746974,0.0,0.0,9.81
112,0.0,35.09739097093106,0.0,0.0,-0.002438521976283924,0.0,0.0,9.81
113,0.0,74.92535537114045,0.0,0.0,0.05055910671569167,0.0,0.0,9.81
114,0.0,74.92535537114045,0.0,0.0,0.14118494968030124,0.0,0.0,9.81
115,0.0,10.652917994308131,0.0,0.0,-0.00962992863881191,0.0,0.0,9.81
116,0.0,0.36893565717777554,0.0,0.0,0.07130844593837067,0.0,0.0,9.81
117,0.0,0.36893565717777554,0.0,0.0,-0.00045671760327237464,0.0,0.0,9.81
118,0.0,4.494789937204165,0.0,0.0,0.01963211145934973,0.0,0.0,9.81
119,0.0,91.20852860892467,0.0,0.0,-0.025619042210464647,0.0,0.0,9.81
120,0.0,91.20852860892467,0.0,0.0,0.0595257241931874,0.0,0.0,9.81
121,0.0,-0.8025001074072352,0.0,0.0,0.004516363576108647,0.0,0.0,9.81
122,0.0,-0.8025001074072352,0.0,0.0,0.0366784950737779,0.0,0.0,9.81
123,0.0,-44.821402125226314,0.0,0.0,-0.020074293564671494,0.0,0.0,9.81
124,0.0,-6.563224224537837,0.0,0.0,-0.07705403275348006,0.0,0.0,9.81
125,0.0,-6.563224224537837,0.0,0.0,-0.14262756776555457,0.0,0.0,9.81
126,0.0,46.01438224129438,0.0,0.0,-0.013934464177021814,0.0,0.0,9.81
127,0.0,15.832097925844652,0.0,0.0,-0.048296643629670545,0.0,0.0,9.81
128,0.0,15.832097925844652,0.0,0.0,-0.03114200604857105,0.0,0.0,9.81
129,0.0,-51.13711183120731,0.0,0.0,-0.08252548189008448,0.0,0.0,9.81
130,0.0,-64.8252817458551,0.0,0.0,0.016866523344925718,0.0,0.0,9.81
